"subject"	"group"	"part"	"sequence"	"weight"	"response"
9	1	2	"7"	8	7
9	1	2	"7"	9	8
9	1	2	"7"	10	9
9	1	2	"8"	6	7
9	1	2	"8"	7	7
9	1	2	"8"	8	7
9	1	2	"8"	9	8
9	1	2	"8"	10	9
9	1	2	"9"	6	7
9	1	2	"9"	7	8
9	1	2	"9"	8	8
9	1	2	"9"	9	7
9	1	2	"9"	10	9
9	1	2	"10"	6	7
9	1	2	"10"	7	7
9	1	2	"10"	8	8
9	1	2	"10"	9	7
9	1	2	"10"	10	9
10	1	1	"1"	1	3
10	1	1	"1"	2	6
10	1	1	"1"	3	5
10	1	1	"1"	4	6
10	1	1	"1"	5	7
10	1	1	"2"	1	2
10	1	1	"2"	2	7
10	1	1	"2"	3	6
10	1	1	"2"	4	9
10	1	1	"2"	5	8
10	1	1	"3"	1	3
10	1	1	"3"	2	2
10	1	1	"3"	3	7
10	1	1	"3"	4	6
10	1	1	"3"	5	8
10	1	1	"4"	1	3
10	1	1	"4"	2	5
10	1	1	"4"	3	8
10	1	1	"4"	4	7
10	1	1	"4"	5	7
10	1	1	"5"	1	2
10	1	1	"5"	2	5
10	1	1	"5"	3	6
10	1	1	"5"	4	8
10	1	1	"5"	5	9
10	1	1	"6"	1	2
10	1	1	"6"	2	5
10	1	1	"6"	3	6
10	1	1	"6"	4	8
10	1	1	"6"	5	9
10	1	1	"7"	1	4
10	1	1	"7"	2	5
10	1	1	"7"	3	7
10	1	1	"7"	4	8
10	1	1	"7"	5	9
10	1	1	"8"	1	4
10	1	1	"8"	2	6
10	1	1	"8"	3	7
10	1	1	"8"	4	8
10	1	1	"8"	5	9
10	1	1	"9"	1	6
10	1	1	"9"	2	7
10	1	1	"9"	3	7
10	1	1	"9"	4	8
10	1	1	"9"	5	9
10	1	1	"10"	1	3
10	1	1	"10"	2	6
10	1	1	"10"	3	8
10	1	1	"10"	4	7
10	1	1	"10"	5	9
10	1	2	"1"	6	9
10	1	2	"1"	7	8
10	1	2	"1"	8	9
10	1	2	"1"	9	9
10	1	2	"1"	10	9
10	1	2	"2"	6	8
10	1	2	"2"	7	8
10	1	2	"2"	8	9
10	1	2	"2"	9	8
10	1	2	"2"	10	9
10	1	2	"3"	6	7
10	1	2	"3"	7	7
10	1	2	"3"	8	8
10	1	2	"3"	9	8
10	1	2	"3"	10	7
10	1	2	"4"	6	8
10	1	2	"4"	7	8
10	1	2	"4"	8	7
10	1	2	"4"	9	8
10	1	2	"4"	10	9
